REGION,Start,End,RSI,CATEGORY,TERM1PCT,TERM2PCT,TERM3PCT,TERM4PCT,AREA0,POP0,AREA1,POP1,AREA2,POP2,AREA3,POP3,AREA4,POP4,STORM_ID,REGION_CODE,YEAR,MONTH
Northeast,12/27/1999,12/30/1999,0.295,0,0.96,0.04,0,0,163629,48022654,29329,4399154,682,97954,0,0,0,0,19991227_19991230_1,101,1999,12
Northern Rockies and Plains,12/27/1999,12/30/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991227_19991230_1,105,1999,12
Ohio Valley,12/27/1999,12/30/1999,0.353,0,0.93,0.08,0,0,192084,38467338,20382,6339138,1345,183208,0,0,0,0,19991227_19991230_1,103,1999,12
South,12/27/1999,12/30/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991227_19991230_1,106,1999,12
Southeast,12/27/1999,12/30/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991227_19991230_1,104,1999,12
Upper Midwest,12/27/1999,12/30/1999,0.282,0,0.78,0.22,0,0,240528,23499678,25956,1169178,4410,95028,0,0,0,0,19991227_19991230_1,102,1999,12
National,12/22/1999,12/25/1999,0,0,0,0,0,0,618049,73321080,77360,8218780,0,0,0,0,0,0,19991222_19991225_1,110,1999,12
Northeast,12/22/1999,12/25/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991222_19991225_1,101,1999,12
Northern Rockies and Plains,12/22/1999,12/25/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991222_19991225_1,105,1999,12
Ohio Valley,12/22/1999,12/25/1999,0.168,0,1,0,0,0,242643,41171230,16558,2223130,0,0,0,0,0,0,19991222_19991225_1,103,1999,12
South,12/22/1999,12/25/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991222_19991225_1,106,1999,12
Southeast,12/22/1999,12/25/1999,0.158,0,1,0,0,0,55286,10069105,8139,1493905,19,1975,0,0,0,0,19991222_19991225_1,104,1999,12
Upper Midwest,12/22/1999,12/25/1999,0.089,0,1,0,0,0,194919,14530068,7764,753268,0,0,0,0,0,0,19991222_19991225_1,102,1999,12
National,12/18/1999,12/20/1999,0,0,0,0,0,0,1038975,61790126,223240,12097326,7697,90926,2200,20108,0,0,19991218_19991220_1,110,1999,12
Northeast,12/18/1999,12/20/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991218_19991220_1,101,1999,12
Northern Rockies and Plains,12/18/1999,12/20/1999,0.225,0,0.95,0.05,0,0,433574,4760283,28128,280123,528,8967,0,0,0,0,19991218_19991220_1,105,1999,12
Ohio Valley,12/18/1999,12/20/1999,0.001,0,1,0,0,0,98339,17754242,221,4342,0,0,0,0,0,0,19991218_19991220_1,103,1999,12
South,12/18/1999,12/20/1999,0.009,0,1,0,0,0,26504,1572254,1335,26354,0,0,0,0,0,0,19991218_19991220_1,106,1999,12
Southeast,12/18/1999,12/20/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991218_19991220_1,104,1999,12
Upper Midwest,12/18/1999,12/20/1999,0.299,0,1,0,0,0,251820,23890060,31174,2027660,0,0,0,0,0,0,19991218_19991220_1,102,1999,12
National,12/13/1999,12/16/1999,0,0,0,0,0,0,1568381,100739925,302321,14950821,24688,1412121,518,42621,9,3010,19991213_19991216_1,110,1999,12
Northeast,12/13/1999,12/16/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991213_19991216_1,101,1999,12
Northern Rockies and Plains,12/13/1999,12/16/1999,0.166,0,0.76,0.24,0,0,441504,4753668,20017,132608,2892,16149,0,0,0,0,19991213_19991216_1,105,1999,12
Ohio Valley,12/13/1999,12/16/1999,0,0,1,0,0,0,170289,32936990,48,590,0,0,0,0,0,0,19991213_19991216_1,103,1999,12
South,12/13/1999,12/16/1999,0.011,0,1,0,0,0,94120,2410325,1662,29385,0,0,0,0,0,0,19991213_19991216_1,106,1999,12
Southeast,12/13/1999,12/16/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991213_19991216_1,104,1999,12
Upper Midwest,12/13/1999,12/16/1999,0.381,0,0.71,0.29,0.01,0,252003,23896445,35038,1108645,7957,130761,28,351,0,0,19991213_19991216_1,102,1999,12
National,12/9/1999,12/12/1999,0,0,0,0,0,0,171826,17481533,54344,2204233,8168,155293,105,4514,0,0,19991209_19991212_1,110,1999,12
Northeast,12/9/1999,12/12/1999,0.13,0,0.99,0.01,0,0,114320,16216557,17749,454457,115,5253,0,0,0,0,19991209_19991212_1,101,1999,12
Northern Rockies and Plains,12/9/1999,12/12/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991209_19991212_1,105,1999,12
Ohio Valley,12/9/1999,12/12/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991209_19991212_1,103,1999,12
South,12/9/1999,12/12/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991209_19991212_1,106,1999,12
Southeast,12/9/1999,12/12/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991209_19991212_1,104,1999,12
Upper Midwest,12/9/1999,12/12/1999,0.01,0,1,0,0,0,42879,1077819,1451,25469,0,0,0,0,0,0,19991209_19991212_1,102,1999,12
National,12/8/1999,12/9/1999,0,0,0,0,0,0,505169,13324979,122691,5271689,11599,208519,19,269,0,0,19991208_19991209_1,110,1999,12
Northeast,12/8/1999,12/9/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991208_19991209_1,101,1999,12
Northern Rockies and Plains,12/8/1999,12/9/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991208_19991209_1,105,1999,12
Ohio Valley,12/8/1999,12/9/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991208_19991209_1,103,1999,12
South,12/8/1999,12/9/1999,0.302,0,0.7,0.3,0,0,70422,1349821,29185,770046,3613,193643,0,0,0,0,19991208_19991209_1,106,1999,12
Southeast,12/8/1999,12/9/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991208_19991209_1,104,1999,12
Upper Midwest,12/8/1999,12/9/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991208_19991209_1,102,1999,12
National,12/3/1999,12/6/1999,0,0,0,0,0,0,981458,65647948,324269,15540448,45022,3473348,4036,340438,836,55418,19991203_19991206_1,110,1999,12
Northeast,12/3/1999,12/6/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991203_19991206_1,101,1999,12
Northern Rockies and Plains,12/3/1999,12/6/1999,0.049,0,1,0,0,0,162668,1765756,8476,43336,0,0,0,0,0,0,19991203_19991206_1,105,1999,12
Ohio Valley,12/3/1999,12/6/1999,0.07,0,0.94,0.06,0,0,152655,29818154,9802,311254,297,11803,0,0,0,0,19991203_19991206_1,103,1999,12
South,12/3/1999,12/6/1999,1.455,1,0.47,0.48,0.05,0,158286,4925189,91410,2679429,34144,1144419,586,26179,0,0,19991203_19991206_1,106,1999,12
Southeast,12/3/1999,12/6/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991203_19991206_1,104,1999,12
Upper Midwest,12/3/1999,12/6/1999,0.103,0,1,0,0,0,77879,14378209,12195,547309,0,0,0,0,0,0,19991203_19991206_1,102,1999,12
National,11/21/1999,11/24/1999,0,0,0,0,0,0,924905,32397417,332141,18918217,30473,3774717,153,20847,0,0,19991121_19991124_1,110,1999,11
Northeast,11/21/1999,11/24/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991121_19991124_1,101,1999,11
Northern Rockies and Plains,11/21/1999,11/24/1999,0.263,0,0.93,0.07,0,0,235473,3303191,36123,283421,826,13220,0,0,0,0,19991121_19991124_1,105,1999,11
Ohio Valley,11/21/1999,11/24/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991121_19991124_1,103,1999,11
South,11/21/1999,11/24/1999,0.036,0,0.99,0.01,0,0,38161,276929,6352,31718,38,91,0,0,0,0,19991121_19991124_1,106,1999,11
Southeast,11/21/1999,11/24/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991121_19991124_1,104,1999,11
Upper Midwest,11/21/1999,11/24/1999,0.197,0,0.86,0.14,0,0,107872,6625217,19537,940447,2152,23042,0,0,0,0,19991121_19991124_1,102,1999,11
National,11/17/1999,11/19/1999,0,0,0,0,0,0,579475,14711383,157738,3959283,10215,62963,0,0,0,0,19991117_19991119_1,110,1999,11
Northeast,11/17/1999,11/19/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991117_19991119_1,101,1999,11
Northern Rockies and Plains,11/17/1999,11/19/1999,0.324,0,0.76,0.24,0,0,343557,2570110,43177,209970,5717,32278,0,0,0,0,19991117_19991119_1,105,1999,11
Ohio Valley,11/17/1999,11/19/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991117_19991119_1,103,1999,11
South,11/17/1999,11/19/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991117_19991119_1,106,1999,11
Southeast,11/17/1999,11/19/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991117_19991119_1,104,1999,11
Upper Midwest,11/17/1999,11/19/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991117_19991119_1,102,1999,11
National,11/14/1999,11/17/1999,0,0,0,0,0,0,161553,21744873,50769,3088073,12444,704033,1758,98195,278,13578,19991114_19991117_1,110,1999,11
Northeast,11/14/1999,11/17/1999,0.276,0,0.77,0.15,0.08,0,133857,19370410,27542,1408110,2565,146290,182,9263,0,0,19991114_19991117_1,101,1999,11
Northern Rockies and Plains,11/14/1999,11/17/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991114_19991117_1,105,1999,11
Ohio Valley,11/14/1999,11/17/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991114_19991117_1,103,1999,11
South,11/14/1999,11/17/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991114_19991117_1,106,1999,11
Southeast,11/14/1999,11/17/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991114_19991117_1,104,1999,11
Upper Midwest,11/14/1999,11/17/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991114_19991117_1,102,1999,11
National,10/4/1999,10/5/1999,0,0,0,0,0,0,55363,2982524,22362,742864,105,4514,0,0,0,0,19991004_19991005_1,110,1999,10
Northeast,10/4/1999,10/5/1999,0.003,0,1,0,0,0,54536,2947284,480,12514,0,0,0,0,0,0,19991004_19991005_1,101,1999,10
Northern Rockies and Plains,10/4/1999,10/5/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991004_19991005_1,105,1999,10
Ohio Valley,10/4/1999,10/5/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991004_19991005_1,103,1999,10
South,10/4/1999,10/5/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991004_19991005_1,106,1999,10
Southeast,10/4/1999,10/5/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991004_19991005_1,104,1999,10
Upper Midwest,10/4/1999,10/5/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991004_19991005_1,102,1999,10
National,10/1/1999,10/2/1999,0,0,0,0,0,0,339232,7280038,144418,3607538,6092,21778,0,0,0,0,19991001_19991002_1,110,1999,10
Northeast,10/1/1999,10/2/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991001_19991002_1,101,1999,10
Northern Rockies and Plains,10/1/1999,10/2/1999,0.418,0,0.96,0.04,0,0,268108,1972098,67048,381458,1527,3586,0,0,0,0,19991001_19991002_1,105,1999,10
Ohio Valley,10/1/1999,10/2/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991001_19991002_1,103,1999,10
South,10/1/1999,10/2/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991001_19991002_1,106,1999,10
Southeast,10/1/1999,10/2/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19991001_19991002_1,104,1999,10
Upper Midwest,10/1/1999,10/2/1999,0.145,0,1,0,0,0,70595,5288510,13040,1199700,0,0,0,0,0,0,19991001_19991002_1,102,1999,10
National,3/12/1999,3/16/1999,0,0,0,0,0,0,1071240,118639602,587903,88255102,194400,25213102,34528,1712902,1037,56432,19990312_19990316_1,110,1999,3
Northeast,3/12/1999,3/16/1999,1.815,1,0.78,0.22,0,0,165157,56251871,90699,41506171,23640,1892471,57,231,0,0,19990312_19990316_1,101,1999,3
Northern Rockies and Plains,3/12/1999,3/16/1999,0.05,0,0.99,0.01,0,0,108660,1334495,7553,54145,48,234,0,0,0,0,19990312_19990316_1,105,1999,3
Ohio Valley,3/12/1999,3/16/1999,2.54,1,0.39,0.25,0.24,0.12,220193,27362898,109515,11312198,42245,2572458,6880,632358,663,45721,19990312_19990316_1,103,1999,3
South,3/12/1999,3/16/1999,8.66,3,0.12,0.2,0.35,0.33,208383,9523857,124363,5191937,81934,2933117,28916,729257,1681,139556,19990312_19990316_1,106,1999,3
Southeast,3/12/1999,3/16/1999,1.196,1,0.69,0.26,0.05,0,71017,13016024,42639,7753404,10571,1133684,797,25214,0,0,19990312_19990316_1,104,1999,3
Upper Midwest,3/12/1999,3/16/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19990312_19990316_1,102,1999,3
National,3/7/1999,3/10/1999,0,0,0,0,0,0,1616644,129522166,722979,73750966,198869,35901366,4574,2104666,9,496,19990307_19990310_1,110,1999,3
Northeast,3/7/1999,3/10/1999,0.232,0,0.97,0.03,0,0,66952,25566540,13059,7088540,442,28370,0,0,0,0,19990307_19990310_1,101,1999,3
Northern Rockies and Plains,3/7/1999,3/10/1999,1.837,1,0.68,0.32,0,0,422513,4431210,87345,2426140,3642,719200,0,0,0,0,19990307_19990310_1,105,1999,3
Ohio Valley,3/7/1999,3/10/1999,3.631,2,0.46,0.53,0.01,0,221587,41194385,125208,28364785,69403,18521025,624,21125,9,496,19990307_19990310_1,103,1999,3
South,3/7/1999,3/10/1999,0.114,0,0.98,0.02,0,0,95254,2939706,20286,99136,153,593,0,0,0,0,19990307_19990310_1,106,1999,3
Southeast,3/7/1999,3/10/1999,1.135,1,0.56,0.43,0.02,0,92169,18718337,30665,6393137,8687,3185827,19,53887,0,0,19990307_19990310_1,104,1999,3
Upper Midwest,3/7/1999,3/10/1999,4.017,2,0.55,0.42,0.03,0,241585,23633951,195591,18891951,68182,7557751,326,128421,0,0,19990307_19990310_1,102,1999,3
National,1/13/1999,1/16/1999,0,0,0,0,0,0,935551,139085373,438080,63643973,146878,21476473,28243,3813273,1499,171483,19990113_19990116_1,110,1999,1
Northeast,1/13/1999,1/16/1999,2.392,1,0.55,0.42,0.03,0,172922,58598684,132589,22515484,57448,5691384,490,37664,0,0,19990113_19990116_1,101,1999,1
Northern Rockies and Plains,1/13/1999,1/16/1999,0.307,0,0.94,0.07,0,0,189067,2613648,34605,411978,1518,7412,0,0,0,0,19990113_19990116_1,105,1999,1
Ohio Valley,1/13/1999,1/16/1999,0.761,0,0.56,0.38,0.06,0,264178,43441546,33394,7070446,6131,3587316,288,94166,0,0,19990113_19990116_1,103,1999,1
South,1/13/1999,1/16/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19990113_19990116_1,106,1999,1
Southeast,1/13/1999,1/16/1999,0.005,0,1,0,0,0,45090,8291134,470,12834,0,0,0,0,0,0,19990113_19990116_1,104,1999,1
Upper Midwest,1/13/1999,1/16/1999,2.021,1,0.8,0.2,0.01,0,251666,23875098,121518,15811498,14520,1962898,57,8198,0,0,19990113_19990116_1,102,1999,1
National,1/1/1999,1/4/1999,0,0,0,0,0,0,1650064,166402716,784234,78578220,310192,44235720,82915,20104220,5477,1057920,19990101_19990104_1,110,1999,1
Northeast,1/1/1999,1/4/1999,0.361,0,0.81,0.19,0,0,170375,56312555,35777,2708355,3642,472635,9,385,0,0,19990101_19990104_1,101,1999,1
Northern Rockies and Plains,1/1/1999,1/4/1999,1.675,1,0.86,0.14,0,0,449757,4711327,122623,2600127,12637,138057,38,1015,0,0,19990101_19990104_1,105,1999,1
Ohio Valley,1/1/1999,1/4/1999,11.579,4,0.17,0.23,0.52,0.08,307962,49128095,158488,33410795,100751,24168685,38372,12150685,595,383685,19990101_19990104_1,103,1999,1
South,1/1/1999,1/4/1999,0.07,0,0.99,0.01,0,0,144765,6949451,5564,501501,19,1183,0,0,0,0,19990101_19990104_1,106,1999,1
Southeast,1/1/1999,1/4/1999,0.034,0,1,0,0,0,71277,14964736,2229,238936,0,0,0,0,0,0,19990101_19990104_1,104,1999,1
Upper Midwest,1/1/1999,1/4/1999,15.296,4,0.17,0.25,0.33,0.25,252012,23896551,216033,23308690,148888,17634130,22766,4454330,1989,184400,19990101_19990104_1,102,1999,1
National,2/3/1998,2/7/1998,0,0,0,0,0,0,386649,101302579,190326,32547283,79465,9641183,27359,4410503,2815,748463,19980203_19980207_1,110,1998,2
Northeast,2/3/1998,2/7/1998,0.098,0,0.82,0.17,0.01,0,100318,51403226,8687,1106326,1018,74786,9,694,0,0,19980203_19980207_1,101,1998,2
Northern Rockies and Plains,2/3/1998,2/7/1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19980203_19980207_1,105,1998,2
Ohio Valley,2/3/1998,2/7/1998,7.236,3,0.14,0.18,0.39,0.3,204288,30759550,100683,12336650,66712,8153410,26033,4250000,2585,725760,19980203_19980207_1,103,1998,2
South,2/3/1998,2/7/1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19980203_19980207_1,106,1998,2
Southeast,2/3/1998,2/7/1998,1.651,1,0.54,0.24,0.13,0.1,82127,17631481,49010,7905061,12291,1566441,2075,245891,394,52681,19980203_19980207_1,104,1998,2
Upper Midwest,2/3/1998,2/7/1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19980203_19980207_1,102,1998,2
National,1/27/1998,1/29/1998,0,0,0,0,0,0,224210,63564787,96974,15350187,55171,6608377,20911,2726857,5045,692317,19980127_19980129_1,110,1998,1
Northeast,1/27/1998,1/29/1998,0.056,0,1,0,0,0,126448,48100895,5343,1040395,9,1685,0,0,0,0,19980127_19980129_1,101,1998,1
Northern Rockies and Plains,1/27/1998,1/29/1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19980127_19980129_1,105,1998,1
Ohio Valley,1/27/1998,1/29/1998,1.773,1,0.16,0.18,0.3,0.36,44205,4198855,34471,2697795,20325,1513325,6294,515966,1172,136518,19980127_19980129_1,103,1998,1
South,1/27/1998,1/29/1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19980127_19980129_1,106,1998,1
Southeast,1/27/1998,1/29/1998,7.766,3,0.12,0.16,0.28,0.44,52893,9743210,49251,8310190,37882,5441720,19508,2922270,8005,1254380,19980127_19980129_1,104,1998,1
Upper Midwest,1/27/1998,1/29/1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19980127_19980129_1,102,1998,1
National,10/23/1997,10/28/1997,0,0,0,0,0,0,1202488,70630240,643743,21498940,218531,7743940,78898,4849040,32424,3810110,19971023_19971028_1,110,1997,10
Northeast,10/23/1997,10/28/1997,0.103,0,0.82,0.18,0,0,123516,14725460,11781,288360,1287,12192,0,0,0,0,19971023_19971028_1,101,1997,10
Northern Rockies and Plains,10/23/1997,10/28/1997,5.069,2,0.33,0.34,0.22,0.12,367649,3978983,183445,2519233,58265,1488883,9119,140433,1393,13182,19971023_19971028_1,105,1997,10
Ohio Valley,10/23/1997,10/28/1997,0.044,0,0.96,0.04,0,0,92669,20165327,6534,155127,124,2789,0,0,0,0,19971023_19971028_1,103,1997,10
South,10/23/1997,10/28/1997,5.53,2,0.05,0.08,0.28,0.59,112831,3443586,46743,345836,32385,212738,20392,96877,6928,25932,19971023_19971028_1,106,1997,10
Southeast,10/23/1997,10/28/1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19971023_19971028_1,104,1997,10
Upper Midwest,10/23/1997,10/28/1997,0.836,0,0.84,0.17,0,0,126669,17378259,62061,5857559,8120,359479,0,0,0,0,19971023_19971028_1,102,1997,10
National,4/9/1997,4/13/1997,0,0,0,0,0,0,1429292,84730105,854702,45992905,206096,8748505,16942,508795,2364,13799,19970409_19970413_1,110,1997,4
Northeast,4/9/1997,4/13/1997,0.089,0,1,0,0,0,88584,10417290,6015,2494030,0,0,0,0,0,0,19970409_19970413_1,101,1997,4
Northern Rockies and Plains,4/9/1997,4/13/1997,4.098,2,0.5,0.48,0.03,0,401294,4210399,221222,3146039,62878,1769779,1220,9629,0,0,19970409_19970413_1,105,1997,4
Ohio Valley,4/9/1997,4/13/1997,1.067,1,0.54,0.31,0.15,0,136625,24203882,57102,7692082,21978,1310432,2488,39952,0,0,19970409_19970413_1,103,1997,4
South,4/9/1997,4/13/1997,0.963,0,0.48,0.37,0.16,0,111379,3596527,69816,1229117,24025,227267,1941,13252,0,0,19970409_19970413_1,106,1997,4
Southeast,4/9/1997,4/13/1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19970409_19970413_1,104,1997,4
Upper Midwest,4/9/1997,4/13/1997,1.967,1,0.51,0.31,0.16,0.02,171961,22414816,87201,8597216,29637,2304286,3257,79746,38,669,19970409_19970413_1,102,1997,4
National,4/4/1997,4/7/1997,0,0,0,0,0,0,1018035,30743865,537189,9554765,243248,1990065,79993,573855,9408,71354,19970404_19970407_1,110,1997,4
Northeast,4/4/1997,4/7/1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19970404_19970407_1,101,1997,4
Northern Rockies and Plains,4/4/1997,4/7/1997,9.876,3,0.21,0.28,0.4,0.11,463095,4830672,318215,2204352,185626,1365895,47290,360075,2094,25867,19970404_19970407_1,105,1997,4
Ohio Valley,4/4/1997,4/7/1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19970404_19970407_1,103,1997,4
South,4/4/1997,4/7/1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19970404_19970407_1,106,1997,4
Southeast,4/4/1997,4/7/1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19970404_19970407_1,104,1997,4
Upper Midwest,4/4/1997,4/7/1997,0.137,0,0.75,0.25,0,0,221740,15284961,15183,241661,2354,52751,0,0,0,0,19970404_19970407_1,102,1997,4
National,3/31/1997,4/1/1997,0,0,0,0,0,0,256403,76749780,152788,49004580,51278,23605680,24390,11238380,8158,6114380,19970331_19970401_1,110,1997,3
Northeast,3/31/1997,4/1/1997,4.669,2,0.25,0.19,0.48,0.07,172979,58882868,79647,32535868,30598,13344968,5275,4858508,115,41938,19970331_19970401_1,101,1997,3
Northern Rockies and Plains,3/31/1997,4/1/1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19970331_19970401_1,105,1997,3
Ohio Valley,3/31/1997,4/1/1997,0.098,0,0.96,0.04,0,0,50548,9938375,12829,640915,297,8030,0,0,0,0,19970331_19970401_1,103,1997,3
South,3/31/1997,4/1/1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19970331_19970401_1,106,1997,3
Southeast,3/31/1997,4/1/1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19970331_19970401_1,104,1997,3
Upper Midwest,3/31/1997,4/1/1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19970331_19970401_1,102,1997,3
National,1/12/1997,1/17/1997,0,0,0,0,0,0,1778935,187730210,799207,81614210,252002,20918510,107689,8689210,46627,5598050,19970112_19970117_1,110,1997,1
Northeast,1/12/1997,1/17/1997,0.138,0,0.98,0.02,0,0,166993,57094408,15981,1466708,144,16138,0,0,0,0,19970112_19970117_1,101,1997,1
Northern Rockies and Plains,1/12/1997,1/17/1997,0.067,0,1,0,0,0,178774,2993003,10657,69573,0,0,0,0,0,0,19970112_19970117_1,105,1997,1
Ohio Valley,1/12/1997,1/17/1997,1.514,1,0.74,0.24,0.01,0,281669,45154007,83088,19665707,9081,4317407,96,44567,0,0,19970112_19970117_1,103,1997,1
South,1/12/1997,1/17/1997,0.13,0,0.99,0.01,0,0,243527,11570008,10830,888708,67,1393,0,0,0,0,19970112_19970117_1,106,1997,1
Southeast,1/12/1997,1/17/1997,0.278,0,0.99,0.01,0,0,41717,7422784,15702,2321844,105,4514,0,0,0,0,19970112_19970117_1,104,1997,1
Upper Midwest,1/12/1997,1/17/1997,2.082,1,0.62,0.3,0.08,0,251041,23892160,91102,13236560,27888,2622760,1114,103810,0,0,19970112_19970117_1,102,1997,1
National,1/8/1997,1/12/1997,0,0,0,0,0,0,1387730,182789624,794120,121622824,174652,25477720,28378,2194220,4862,332290,19970108_19970112_1,110,1997,1
Northeast,1/8/1997,1/12/1997,1.52,1,0.47,0.25,0.21,0.07,174949,58912671,77850,10019271,24092,1238941,2460,157161,96,3766,19970108_19970112_1,101,1997,1
Northern Rockies and Plains,1/8/1997,1/12/1997,0.215,0,0.97,0.03,0,0,153327,2689044,20277,348614,566,2187,0,0,0,0,19970108_19970112_1,105,1997,1
Ohio Valley,1/8/1997,1/12/1997,3.569,2,0.56,0.44,0,0,308931,49148755,187951,28282355,65520,13122555,67,10955,0,0,19970108_19970112_1,103,1997,1
South,1/8/1997,1/12/1997,1.849,1,0.79,0.21,0,0,332237,19595993,153731,8136893,13454,979353,0,0,0,0,19970108_19970112_1,106,1997,1
Southeast,1/8/1997,1/12/1997,1.11,1,0.84,0.16,0,0,117059,26391737,49280,8579437,5525,719927,19,1336,0,0,19970108_19970112_1,104,1997,1
Upper Midwest,1/8/1997,1/12/1997,4.309,2,0.32,0.28,0.25,0.16,251676,23893170,95859,14410370,44417,5745970,6938,715180,451,25655,19970108_19970112_1,102,1997,1
National,11/22/1996,11/27/1996,0,0,0,0,0,0,885157,116844560,272366,23699360,35893,3743260,0,0,0,0,19961122_19961127_1,110,1996,11
Northeast,11/22/1996,11/27/1996,0.49,0,0.95,0.05,0,0,160496,38374036,54517,5140536,643,454396,0,0,0,0,19961122_19961127_1,101,1996,11
Northern Rockies and Plains,11/22/1996,11/27/1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19961122_19961127_1,105,1996,11
Ohio Valley,11/22/1996,11/27/1996,0.03,0,1,0,0,0,183205,37207273,2210,522573,0,0,0,0,0,0,19961122_19961127_1,103,1996,11
South,11/22/1996,11/27/1996,0.342,0,1,0,0,0,180927,17040280,44686,1381880,0,0,0,0,0,0,19961122_19961127_1,106,1996,11
Southeast,11/22/1996,11/27/1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19961122_19961127_1,104,1996,11
Upper Midwest,11/22/1996,11/27/1996,0.169,0,1,0,0,0,33125,9340860,4045,2549730,0,0,0,0,0,0,19961122_19961127_1,102,1996,11
National,4/9/1996,4/11/1996,0,0,0,0,0,0,352879,95083477,146687,45199977,60956,13646477,26187,2654877,1797,143347,19960409_19960411_1,110,1996,4
Northeast,4/9/1996,4/11/1996,1.638,1,0.48,0.47,0.06,0,174758,58882332,69605,16333732,38920,6204232,691,47872,0,0,19960409_19960411_1,101,1996,4
Northern Rockies and Plains,4/9/1996,4/11/1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19960409_19960411_1,105,1996,4
Ohio Valley,4/9/1996,4/11/1996,0.115,0,0.94,0.06,0,0,89026,17192180,11435,1302180,547,13580,0,0,0,0,19960409_19960411_1,103,1996,4
